name;grade;stars;address;gps;link
Grand Hôtel du Bel Air;7,5;2.0;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/grand-du-bel-air.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=20&hapos=145&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=160605302_342047927_0_2_0%2C160605302_342047927_0_2_0&highlighted_blocks=160605302_342047927_0_2_0%2C160605302_342047927_0_2_0&matching_block_id=160605302_342047927_0_2_0&sr_pri_blocks=160605302_342047927_0_2_0__10026%2C160605302_342047927_0_2_0__10026&from=searchresults#hotelTmpl
Royal Garden Champs Elysées;7,9;4.0;8e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/royal-garden-champs-elysees.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=21&hapos=146&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=5036202_327173586_0_2_0%2C5036202_327173586_0_2_0&highlighted_blocks=5036202_327173586_0_2_0%2C5036202_327173586_0_2_0&matching_block_id=5036202_327173586_0_2_0&sr_pri_blocks=5036202_327173586_0_2_0__24166%2C5036202_327173586_0_2_0__24166&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
citizenM Paris Gare de Lyon;8,6;4.0;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citizenm-paris-gare-de-lyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=22&hapos=147&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&highlighted_blocks=233773501_275703727_0_2_0%2C233773501_275703727_0_2_0&matching_block_id=233773501_275703727_0_2_0&sr_pri_blocks=233773501_275703727_0_2_0__21476%2C233773501_275703727_0_2_0__21476&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel Liège Strasbourg;7,1;2.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/liege-strasbourg.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=23&hapos=148&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=5462801_199498834_0_2_0%2C5462801_199498834_0_2_0&highlighted_blocks=5462801_199498834_0_2_0%2C5462801_199498834_0_2_0&matching_block_id=5462801_199498834_0_2_0&sr_pri_blocks=5462801_199498834_0_2_0__13226%2C5462801_199498834_0_2_0__13226&from=searchresults#hotelTmpl
Rose Bourbon;8,6;3.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/rose-bourbon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=24&hapos=149&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=299160607_295645552_0_2_0%2C299160608_295645552_0_2_0&highlighted_blocks=299160607_295645552_0_2_0%2C299160608_295645552_0_2_0&matching_block_id=299160607_295645552_0_2_0&sr_pri_blocks=299160607_295645552_0_2_0__16876%2C299160608_295645552_0_2_0__17976&from=searchresults#hotelTmpl
Le Basile Hôtel;9,1;4.0;9e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/basile.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=25&hapos=150&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312027&all_sr_blocks=43909801_332405763_2_2_0%2C43909801_332405763_2_2_0&highlighted_blocks=43909801_332405763_2_2_0%2C43909801_332405763_2_2_0&matching_block_id=43909801_332405763_2_2_0&sr_pri_blocks=43909801_332405763_2_2_0__23076%2C43909801_332405763_2_2_0__23076&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
name;grade;stars;address;gps;link
Best Western Plus La Demeure;8,3;4.0;13e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/lademeure_paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=1&hapos=151&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5181412_296013012_2_2_0%2C5181412_296013012_2_2_0&highlighted_blocks=5181412_296013012_2_2_0%2C5181412_296013012_2_2_0&matching_block_id=5181412_296013012_2_2_0&sr_pri_blocks=5181412_296013012_2_2_0__16641%2C5181412_296013012_2_2_0__16641&from=searchresults#hotelTmpl
Hôtel Jardin de Cluny;8,6;4.0;5e arr., Paris;[6.1868309, 1.1883102];https://www.booking.com/hotel/fr/lejardindecluny.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=2&hapos=152&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5001314_342500475_0_2_0%2C5001314_342500475_0_2_0&highlighted_blocks=5001314_342500475_0_2_0%2C5001314_342500475_0_2_0&matching_block_id=5001314_342500475_0_2_0&sr_pri_blocks=5001314_342500475_0_2_0__24726%2C5001314_342500475_0_2_0__24726&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel Ambassadeur;7,3;3.0;17e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/ambassadeurparis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=3&hapos=153&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5154602_234876006_0_2_0%2C5154602_234876006_0_2_0&highlighted_blocks=5154602_234876006_0_2_0%2C5154602_234876006_0_2_0&matching_block_id=5154602_234876006_0_2_0&sr_pri_blocks=5154602_234876006_0_2_0__10276%2C5154602_234876006_0_2_0__10276&from=searchresults#hotelTmpl
Hotel Eugène en Ville;8,4;4.0;9e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/euga-ne-en-ville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=4&hapos=154&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=65025003_195912168_0_2_0%2C65025003_195912168_0_2_0&highlighted_blocks=65025003_195912168_0_2_0%2C65025003_195912168_0_2_0&matching_block_id=65025003_195912168_0_2_0&sr_pri_blocks=65025003_195912168_0_2_0__17976%2C65025003_195912168_0_2_0__17976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel Mimosa;7,7;1.0;10e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/ha-tel-mimosa.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=5&hapos=155&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=49726001_348351117_0_0_0%2C49726001_348351117_0_0_0&highlighted_blocks=49726001_348351117_0_0_0%2C49726001_348351117_0_0_0&matching_block_id=49726001_348351117_0_0_0&sr_pri_blocks=49726001_348351117_0_0_0__9474%2C49726001_348351117_0_0_0__9474&from=searchresults#hotelTmpl
Hôtel Le M;8,2;4.0;14e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/abba-montparnasse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=6&hapos=156&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5446201_123063294_0_2_0%2C5446201_123063294_0_2_0&highlighted_blocks=5446201_123063294_0_2_0%2C5446201_123063294_0_2_0&matching_block_id=5446201_123063294_0_2_0&sr_pri_blocks=5446201_123063294_0_2_0__17476%2C5446201_123063294_0_2_0__17476&from=searchresults#hotelTmpl
Babel Belleville;9,0;;20e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/babel-hotels-belleville.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=7&hapos=157&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=706202001_347387444_2_2_0%2C706202001_347387444_2_2_0&highlighted_blocks=706202001_347387444_2_2_0%2C706202001_347387444_2_2_0&matching_block_id=706202001_347387444_2_2_0&sr_pri_blocks=706202001_347387444_2_2_0__14700%2C706202001_347387444_2_2_0__14700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hôtel Henriette;9,0;3.0;13e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotel-henriette.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=8&hapos=158&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=42737218_91077803_0_2_0%2C42737218_91077803_0_2_0&highlighted_blocks=42737218_91077803_0_2_0%2C42737218_91077803_0_2_0&matching_block_id=42737218_91077803_0_2_0&sr_pri_blocks=42737218_91077803_0_2_0__15924%2C42737218_91077803_0_2_0__15924&from=searchresults#hotelTmpl
Hotel Terminus Lyon;7,9;3.0;12e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotelterminuslyon.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=9&hapos=159&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5315302_187403601_0_2_0%2C5315302_187403601_0_2_0&highlighted_blocks=5315302_187403601_0_2_0%2C5315302_187403601_0_2_0&matching_block_id=5315302_187403601_0_2_0&sr_pri_blocks=5315302_187403601_0_2_0__17476%2C5315302_187403601_0_2_0__17476&from=searchresults#hotelTmpl
Hôtel Korner Etoile;8,5;3.0;17e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/le-villiers.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=10&hapos=160&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5459203_264988894_2_2_0%2C5459203_264988894_2_2_0&highlighted_blocks=5459203_264988894_2_2_0%2C5459203_264988894_2_2_0&matching_block_id=5459203_264988894_2_2_0&sr_pri_blocks=5459203_264988894_2_2_0__14776%2C5459203_264988894_2_2_0__14776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Modern Hotel;6,9;2.0;11e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/modernhotel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=11&hapos=161&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5015504_295839952_0_2_0%2C5015504_295839952_0_2_0&highlighted_blocks=5015504_295839952_0_2_0%2C5015504_295839952_0_2_0&matching_block_id=5015504_295839952_0_2_0&sr_pri_blocks=5015504_295839952_0_2_0__10026%2C5015504_295839952_0_2_0__10026&from=searchresults#hotelTmpl
Hotel Eiffel Blomet;8,7;4.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/eiffel-blomet.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=12&hapos=162&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=226407301_332155965_0_2_0%2C226407301_332155965_0_2_0&highlighted_blocks=226407301_332155965_0_2_0%2C226407301_332155965_0_2_0&matching_block_id=226407301_332155965_0_2_0&sr_pri_blocks=226407301_332155965_0_2_0__16976%2C226407301_332155965_0_2_0__16976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Novotel Paris Centre Gare Montparnasse;8,3;4.0;15e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/novotel-paris-gare-montparnasse.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=13&hapos=163&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5372115_333879484_2_42_0%2C5372115_333879484_2_42_0&highlighted_blocks=5372115_333879484_2_42_0%2C5372115_333879484_2_42_0&matching_block_id=5372115_333879484_2_42_0&sr_pri_blocks=5372115_333879484_2_42_0__21576%2C5372115_333879484_2_42_0__21576&from=searchresults#hotelTmpl
Hotel Park Lane Paris;8,4;4.0;8e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/park-lane-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=14&hapos=164&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=7691010_203332498_0_2_0%2C7691010_203332498_0_2_0&highlighted_blocks=7691010_203332498_0_2_0%2C7691010_203332498_0_2_0&matching_block_id=7691010_203332498_0_2_0&sr_pri_blocks=7691010_203332498_0_2_0__20576%2C7691010_203332498_0_2_0__20576&from=searchresults#hotelTmpl
Citadines Bastille Marais Paris;8,0;3.0;11e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/citadines-aparthotel-bastillemarais.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=15&hapos=165&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=21867406_204494253_4_2_0&highlighted_blocks=21867406_204494253_4_2_0&matching_block_id=21867406_204494253_4_2_0&sr_pri_blocks=21867406_204494253_4_2_0__24152&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Elysees Niel Hotel;8,2;3.0;17e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/hotel-elysee-niel.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=16&hapos=166&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=105716_346705057_0_2_0%2C105716_346705057_0_2_0&highlighted_blocks=105716_346705057_0_2_0%2C105716_346705057_0_2_0&matching_block_id=105716_346705057_0_2_0&sr_pri_blocks=105716_346705057_0_2_0__16876%2C105716_346705057_0_2_0__16876&from=searchresults#hotelTmpl
Newhotel Le Voltaire;8,2;4.0;11e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/new-le-voltaire.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=17&hapos=167&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=336959603_116248666_0_2_0%2C336959603_116248666_0_2_0&highlighted_blocks=336959603_116248666_0_2_0%2C336959603_116248666_0_2_0&matching_block_id=336959603_116248666_0_2_0&sr_pri_blocks=336959603_116248666_0_2_0__18076%2C336959603_116248666_0_2_0__18076&from=searchresults#hotelTmpl
Le Relais Médicis;8,4;4.0;6e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/le-relais-medicis.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=18&hapos=168&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=175584601_276080709_2_2_0%2C175584601_276080709_2_2_0&highlighted_blocks=175584601_276080709_2_2_0%2C175584601_276080709_2_2_0&matching_block_id=175584601_276080709_2_2_0&sr_pri_blocks=175584601_276080709_2_2_0__22576%2C175584601_276080709_2_2_0__22576&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Beausejour;8,1;3.0;11e arr., Paris;[6.1337777, 1.2259398];https://www.booking.com/hotel/fr/beausejour-paris.fr.html?label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQuIAgGoAgO4Arf4yJEGwAIB0gIkNmMwYWYwNGUtNGY3Ni00ZTk3LThjOGUtZWQ0OTEwMDZkZGMw2AIG4AIB&sid=25ce0c049998a2387586ea3a3a49b87b&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-23&checkout=2022-05-24&dest_id=-1456928&dest_type=city&group_adults=2&req_adults=2&no_rooms=2&group_children=2&req_children=2&age=5&req_age=5&age=6&req_age=6&hpos=19&hapos=169&sr_order=popularity&srpvid=5521737e4b450146&srepoch=1648312045&all_sr_blocks=5753701_113997069_0_2_0%2C5753701_113997069_0_2_0&highlighted_blocks=5753701_113997069_0_2_0%2C5753701_113997069_0_2_0&matching_block_id=5753701_113997069_0_2_0&sr_pri_blocks=5753701_113997069_0_2_0__15476%2C5753701_113997069_0_2_0__15476&from=searchresults#hotelTmpl
