,hotel_name,note,stars,price,address,localisation,link
60,Hôtel du Triangle d'Or,"4,4",3.0,193 €,"6 Rue Godot De Mauroy, Paris, Paris, 75009","[48.8704575, 2.3268095]",https://fr.hotels.com/ho359866/hotel-du-triangle-d-or-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088197&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952445&sort=RECOMMENDED&top_dp=193&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200039920&selectedRatePlan=202201691&expediaPropertyId=517154
61,Hôtel Haussmann Saint Augustin,"4,0",3.0,183 €,"20 Rue Roquepine, Paris, Paris, 75008","[48.8733095, 2.3181711]",https://fr.hotels.com/ho130595/hotel-haussmann-saint-augustin-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088199&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840666&sort=RECOMMENDED&top_dp=183&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200614308&selectedRatePlan=202994921&expediaPropertyId=24759
62,Hôtel Terminus Montparnasse,"3,8",3.0,144 €,"59 Boulevard du Montparnasse, Paris, 75006","[48.8407978, 2.3331694]",https://fr.hotels.com/ho30302144/hotel-terminus-montparnasse-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088197&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953062&sort=RECOMMENDED&top_dp=144&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=221560085&selectedRatePlan=296305505&expediaPropertyId=915692
63,Hôtel Elysée Gare de Lyon,"4,1",4.0,149 €,"234 rue de Bercy, Paris, 75012","[48.8466561, 2.3698592]",https://fr.hotels.com/ho181431840/hotel-elysee-gare-de-lyon-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088198&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=149&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=215415486&selectedRatePlan=384393054&expediaPropertyId=5638495
64,Hotel Excelsior Republique,"3,1",2.0,86 €,"4, rue de Lancry, Paris, Paris, 75010","[48.868812, 2.3600579]",https://fr.hotels.com/ho283034/hotel-excelsior-republique-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=86&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200523962&selectedRatePlan=202786458&expediaPropertyId=565108
65,Grand Hotel Malher,"4,3",3.0,160 €,"5 rue malher, Paris, Paris, 75004","[48.8556972, 2.3611427]",https://fr.hotels.com/ho450601/grand-hotel-malher-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953169&sort=RECOMMENDED&top_dp=160&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200695475&selectedRatePlan=203453165&expediaPropertyId=7640209
66,Le 20 Prieure Hotel,"4,2",3.0,124 €,"20 Rue Du Grand Prieure, Paris, Paris, 75011","[48.8660055, 2.3685099]",https://fr.hotels.com/ho366877/le-20-prieure-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=124&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200128402&selectedRatePlan=204591818&expediaPropertyId=2535479
67,Timhotel Palais Royal,"3,9",3.0,148 €,"3 Rue De La Banque, Paris, Paris, 75002","[48.8664024, 2.3399213]",https://fr.hotels.com/ho123872/timhotel-palais-royal-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088198&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957563&sort=RECOMMENDED&top_dp=148&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26443&selectedRatePlan=203259023&expediaPropertyId=18581
68,Hotel Antin Saint-Georges,"3,4",2.0,107 €,"21 rue Notre Dame de Lorette, Paris, Paris, 75009","[48.8779653, 2.3378808]",https://fr.hotels.com/ho262939/hotel-antin-saint-georges-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088199&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=107&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=222045&selectedRatePlan=203871841&expediaPropertyId=1840967
69,Hotel Berkeley,"3,8",3.0,146 €,"2 rue Odessa, Paris, Paris, 75014","[48.8429787, 2.3242775]",https://fr.hotels.com/ho481912/hotel-berkeley-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=146&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200836262&selectedRatePlan=210197062&expediaPropertyId=1157425
70,Hotel Bel Oranger Paris,"3,8",3.0,120 €,"9 Rue D'Austerlitz, Paris, Paris, 75012","[48.8470144, 2.370563]",https://fr.hotels.com/ho283080/hotel-bel-oranger-paris-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271516&selectedRatePlan=201605528&expediaPropertyId=1383390
71,Hotel Des Arts Paris Montmartre,"4,5",4.0,150 €,"5 Rue Tholoze, Paris, Paris, 75018","[48.8861964, 2.335248]",https://fr.hotels.com/ho207815/hotel-des-arts-paris-montmartre-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088196&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178676&sort=RECOMMENDED&top_dp=150&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=43940&selectedRatePlan=99716&expediaPropertyId=565298
72,"Holiday Inn Paris - Gare de Lyon Bastille, an IHG Hotel","4,4",4.0,158 €,"11 Rue De Lyon, Paris, Paris, 75012","[48.849502, 2.3707401]",https://fr.hotels.com/ho266481/holiday-inn-paris-gare-de-lyon-bastille-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=158&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200550209&selectedRatePlan=380296844&expediaPropertyId=44757
73,Hotel de Roubaix,"4,2",2.0,156 €,"6, rue Greneta, Paris, Paris, 75003","[48.8654768, 2.3528597]",https://fr.hotels.com/ho484495/hotel-de-roubaix-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088196&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955967&sort=RECOMMENDED&top_dp=156&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200854580&selectedRatePlan=204764634&expediaPropertyId=9619719
74,Acacias Étoile,"4,2",3.0,156 €,"11 Rue Des Acacias, Paris, Paris, 75017","[48.8766342, 2.2907798]",https://fr.hotels.com/ho353237/acacias-etoile-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088198&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840797&sort=RECOMMENDED&top_dp=156&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200298594&selectedRatePlan=256193904&expediaPropertyId=10485
75,Hôtel Arvor Saint Georges,"4,3",4.0,149 €,"8 Rue Laferriere, Paris, Paris, 75009","[48.8785609, 2.3384118]",https://fr.hotels.com/ho282945/hotel-arvor-saint-georges-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088198&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=149&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200217657&selectedRatePlan=201237566&expediaPropertyId=1527547
76,Hôtel Raspail Montparnasse,"4,2",3.0,163 €,"203 Boulevard Raspail, Paris, Paris, 75014","[48.8414846, 2.3300459]",https://fr.hotels.com/ho328870/raspail-montparnasse-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088198&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=178673&sort=RECOMMENDED&top_dp=163&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200585803&selectedRatePlan=202925531&expediaPropertyId=564897
77,Hotel Paris Louis Blanc,"3,8",3.0,124 €,"232 Rue Du Faubourg Saint Martin, Paris, Paris, 75010","[48.8811852, 2.3654288]",https://fr.hotels.com/ho225469/hotel-paris-louis-blanc-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=124&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200703647&selectedRatePlan=203493521&expediaPropertyId=1150136
78,Hôtel Lorette - Astotel,"4,1",3.0,142 €,"36 Rue Notre Dame De Lorette, Paris, Paris, 75009","[48.8788519, 2.3371245]",https://fr.hotels.com/ho163942/hotel-lorette-astotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=142&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200892991&selectedRatePlan=204528554&expediaPropertyId=5464
79,Hotel Soft,"3,9",3.0,140 €,"52 bis, rue des Vinaigriers, Paris, Paris, 75010","[48.8732588, 2.3599159]",https://fr.hotels.com/ho268888/hotel-soft-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952485&sort=RECOMMENDED&top_dp=140&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200163957&selectedRatePlan=203396584&expediaPropertyId=2007700
80,Hôtel Phénix,"4,0",2.0,101 €,"5, rue du général Lanrezac, Paris, 75017","[48.8761637, 2.2938319]",https://fr.hotels.com/ho510300/hotel-phenix-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088203&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840797&sort=RECOMMENDED&top_dp=101&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201283518&selectedRatePlan=207986307&expediaPropertyId=10535825
81,Hotel Marena,"4,2",3.0,144 €,"27, Rue Louise-de la Tour d'Auvergne, Paris, 75009",,https://fr.hotels.com/ho113599/hotel-marena-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088201&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955795&sort=RECOMMENDED&top_dp=144&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201273136&selectedRatePlan=206160976&expediaPropertyId=14642
82,Timhotel Paris Gare de l'Est,"3,9",3.0,125 €,"27 Rue des Récollets, Paris, Paris, 75010","[48.8749039, 2.3601546]",https://fr.hotels.com/ho282493/timhotel-paris-gare-de-l-est-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953304&sort=RECOMMENDED&top_dp=125&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200538995&selectedRatePlan=205055508&expediaPropertyId=174854
83,Timhotel Opéra Madeleine,"3,7",3.0,139 €,"113 rue Saint Lazare, Paris, 75008","[48.8753656, 2.3259798]",https://fr.hotels.com/ho288519/timhotel-opera-madeleine-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840690&sort=RECOMMENDED&top_dp=139&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201283998&selectedRatePlan=206803678&expediaPropertyId=9282
84,Hotel Paris La Fayette,"4,0",3.0,126 €,"23 Rue Des Messageries, Opera-Department Stores (9 arr.), Paris, Paris, 75010",,https://fr.hotels.com/ho249682/hotel-paris-la-fayette-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=126&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202442833&selectedRatePlan=212421571&expediaPropertyId=1586751
85,Hotel Victoria Chatelet,"4,0",3.0,171 €,"17 Avenue Victoria, Paris, 75001","[48.8577731, 2.3476046]",https://fr.hotels.com/ho671270/hotel-victoria-chatelet-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955788&sort=RECOMMENDED&top_dp=171&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201868580&selectedRatePlan=209455141&expediaPropertyId=17601222
86,Hôtel Castex,"4,0",3.0,198 €,"5 Rue Castex, Paris, Paris, 75004","[48.8526451, 2.3660544]",https://fr.hotels.com/ho282636/hotel-castex-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953197&sort=RECOMMENDED&top_dp=198&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200517494&selectedRatePlan=202769259&expediaPropertyId=2522210
87,Idol Hotel,"4,6",4.0,167 €,"16 Rue d'Edimbourg, Paris, Paris, 75008","[48.8795063, 2.3203278]",https://fr.hotels.com/ho282417/idol-hotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088201&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840690&sort=RECOMMENDED&top_dp=167&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200781443&selectedRatePlan=203982755&expediaPropertyId=558173
88,Hotel Andrea,"4,0",3.0,279 €,"3 rue Saint-Bon, Paris, 75004","[48.8581962, 2.3502811]",https://fr.hotels.com/ho572707/hotel-andrea-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212954077&sort=RECOMMENDED&top_dp=279&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=315667503&selectedRatePlan=384256930&expediaPropertyId=13505949
89,Hôtel Edouard 6,"4,1",3.0,169 €,"61, boulevard du Montparnasse, Paris, Paris, 75006","[48.8407978, 2.3331694]",https://fr.hotels.com/ho172501/hotel-edouard-6-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088200&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953062&sort=RECOMMENDED&top_dp=169&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201145309&selectedRatePlan=205434226&expediaPropertyId=14738
90,Hôtel Alison,"4,3",3.0,169 €,"21, Rue de Surene, Paris, Paris, 75008","[48.8710461, 2.3202766]",https://fr.hotels.com/ho282410/hotel-alison-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840666&sort=RECOMMENDED&top_dp=169&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200216119&selectedRatePlan=205696050&expediaPropertyId=53485
91,Hotel Panache,"4,3",4.0,158 €,"1, rue Geoffroy Marie, Paris, Paris, 75009","[48.8732316, 2.3432488]",https://fr.hotels.com/ho442904/hotel-panache-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088203&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=158&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200380629&selectedRatePlan=207419496&expediaPropertyId=6716425
92,Mary's Hotel République,"3,6",2.0,102 €,"15 Rue de Malte, Paris, Paris, 75011","[48.8651616, 2.3680086]",https://fr.hotels.com/ho397709/mary-s-hotel-republique-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088203&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=102&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200429605&selectedRatePlan=202445840&expediaPropertyId=6985915
93,Hotel Saint Georges Lafayette,"3,8",2.0,92 €,"11 Rue Victor Massé, Paris, Paris, 75009","[48.8805841, 2.339224]",https://fr.hotels.com/ho202928/hotel-saint-georges-lafayette-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=92&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=46339&selectedRatePlan=201633928&expediaPropertyId=1144598
94,Hotel Mademoiselle,"4,4",4.0,159 €,"7 Rue Des Petits Hotels, Paris, Paris, 75010","[48.8772985, 2.3543201]",https://fr.hotels.com/ho122232/hotel-mademoiselle-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=159&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200229160&selectedRatePlan=210648256&expediaPropertyId=63305
95,Hôtel George - Astotel,"4,3",3.0,142 €,"46 Rue Notre Dame De Lorette, Paris, Paris, 75009","[48.8795205, 2.3363149]",https://fr.hotels.com/ho236219/hotel-george-astotel-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=142&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200892961&selectedRatePlan=204528421&expediaPropertyId=870400
96,New Hôtel Gare du Nord,"3,5",2.0,120 €,"40 Rue De Saint Quentin, Paris, Paris, 75010","[48.879539, 2.3560233]",https://fr.hotels.com/ho226515/new-hotel-gare-du-nord-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088202&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=120&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26937&selectedRatePlan=209960117&expediaPropertyId=901150
97,Hôtel Icône,"3,9",3.0,126 €,"4 Rue d' Amboise, Paris, Paris, 75002","[48.8710685, 2.3389927]",https://fr.hotels.com/ho266288/hotel-icone-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088203&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957563&sort=RECOMMENDED&top_dp=126&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=395889&selectedRatePlan=208674858&expediaPropertyId=83058
98,La Mondaine,"4,6",3.0,190 €,"4 rue de Vintimille, Paris, 75009","[48.8818655, 2.3285226]",https://fr.hotels.com/ho779899136/la-mondaine-paris-france/?chkin=2022-07-11&chkout=2022-07-12&x_pwa=1&rfrr=HSR&pwa_ts=1648288088204&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=190&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=218114512&selectedRatePlan=274043011&expediaPropertyId=24340598
